obcina,regija,leto,spol,izobrazba,stevilo,prebivalci,odstotek
Železniki,Gorenjska,2012,Ženske," Višješolska, visokošolska - Skupaj",521,3318,15.7
Železniki,Gorenjska,2012,Ženske, Visokošolska 1. stopnje ipd.,257,3318,7.75
Železniki,Gorenjska,2012,Ženske, Visokošolska 2. stopnje ipd.,246,3318,7.41
Železniki,Gorenjska,2012,Ženske, Visokošolska 3. stopnje ipd.,18,3318,0.54
Železniki,Gorenjska,2013,Moški, Osnovnošolska ali manj - Skupaj,685,3484,19.66
Železniki,Gorenjska,2013,Moški, Srednješolska - Skupaj,1701,3484,48.82
Železniki,Gorenjska,2013,Moški," Višješolska, visokošolska - Skupaj",438,3484,12.57
Železniki,Gorenjska,2013,Moški, Visokošolska 1. stopnje ipd.,224,3484,6.43
Železniki,Gorenjska,2013,Moški, Visokošolska 2. stopnje ipd.,191,3484,5.48
Železniki,Gorenjska,2013,Moški, Visokošolska 3. stopnje ipd.,23,3484,0.66
Železniki,Gorenjska,2013,Ženske, Osnovnošolska ali manj - Skupaj,1089,3319,32.81
Železniki,Gorenjska,2013,Ženske, Srednješolska - Skupaj,1131,3319,34.08
Železniki,Gorenjska,2013,Ženske," Višješolska, visokošolska - Skupaj",541,3319,16.3
Železniki,Gorenjska,2013,Ženske, Visokošolska 1. stopnje ipd.,268,3319,8.07
Železniki,Gorenjska,2013,Ženske, Visokošolska 2. stopnje ipd.,252,3319,7.59
Železniki,Gorenjska,2013,Ženske, Visokošolska 3. stopnje ipd.,21,3319,0.63
Železniki,Gorenjska,2014,Moški, Osnovnošolska ali manj - Skupaj,672,3450,19.48
Železniki,Gorenjska,2014,Moški, Srednješolska - Skupaj,1693,3450,49.07
Železniki,Gorenjska,2014,Moški," Višješolska, visokošolska - Skupaj",460,3450,13.33
Železniki,Gorenjska,2014,Moški, Visokošolska 1. stopnje ipd.,244,3450,7.07
Železniki,Gorenjska,2014,Moški, Visokošolska 2. stopnje ipd.,189,3450,5.48
Železniki,Gorenjska,2014,Moški, Visokošolska 3. stopnje ipd.,27,3450,0.78
Železniki,Gorenjska,2014,Ženske, Osnovnošolska ali manj - Skupaj,1076,3302,32.59
Železniki,Gorenjska,2014,Ženske, Srednješolska - Skupaj,1074,3302,32.53
Železniki,Gorenjska,2014,Ženske," Višješolska, visokošolska - Skupaj",591,3302,17.9
Železniki,Gorenjska,2014,Ženske, Visokošolska 1. stopnje ipd.,313,3302,9.48
Železniki,Gorenjska,2014,Ženske, Visokošolska 2. stopnje ipd.,258,3302,7.81
Železniki,Gorenjska,2014,Ženske, Visokošolska 3. stopnje ipd.,20,3302,0.61
Železniki,Gorenjska,2015,Moški, Osnovnošolska ali manj - Skupaj,641,3449,18.59
Železniki,Gorenjska,2015,Moški, Srednješolska - Skupaj,1700,3449,49.29
Železniki,Gorenjska,2015,Moški," Višješolska, visokošolska - Skupaj",475,3449,13.77
Železniki,Gorenjska,2015,Moški, Visokošolska 1. stopnje ipd.,260,3449,7.54
Železniki,Gorenjska,2015,Moški, Visokošolska 2. stopnje ipd.,188,3449,5.45
Železniki,Gorenjska,2015,Moški, Visokošolska 3. stopnje ipd.,27,3449,0.78
Železniki,Gorenjska,2015,Ženske, Osnovnošolska ali manj - Skupaj,1041,3282,31.72
Železniki,Gorenjska,2015,Ženske, Srednješolska - Skupaj,1075,3282,32.75
Železniki,Gorenjska,2015,Ženske," Višješolska, visokošolska - Skupaj",621,3282,18.92
Železniki,Gorenjska,2015,Ženske, Visokošolska 1. stopnje ipd.,338,3282,10.3
Železniki,Gorenjska,2015,Ženske, Visokošolska 2. stopnje ipd.,260,3282,7.92
Železniki,Gorenjska,2015,Ženske, Visokošolska 3. stopnje ipd.,23,3282,0.7
Železniki,Gorenjska,2016,Moški, Osnovnošolska ali manj - Skupaj,633,3441,18.4
Železniki,Gorenjska,2016,Moški, Srednješolska - Skupaj,1700,3441,49.4
Železniki,Gorenjska,2016,Moški," Višješolska, visokošolska - Skupaj",493,3441,14.33
Železniki,Gorenjska,2016,Moški, Visokošolska 1. stopnje ipd.,270,3441,7.85
Železniki,Gorenjska,2016,Moški, Visokošolska 2. stopnje ipd.,196,3441,5.7
Železniki,Gorenjska,2016,Moški, Visokošolska 3. stopnje ipd.,27,3441,0.78
Železniki,Gorenjska,2016,Ženske, Osnovnošolska ali manj - Skupaj,1016,3255,31.21
Železniki,Gorenjska,2016,Ženske, Srednješolska - Skupaj,1059,3255,32.53
Železniki,Gorenjska,2016,Ženske," Višješolska, visokošolska - Skupaj",641,3255,19.69
Železniki,Gorenjska,2016,Ženske, Visokošolska 1. stopnje ipd.,348,3255,10.69
Železniki,Gorenjska,2016,Ženske, Visokošolska 2. stopnje ipd.,267,3255,8.2
Železniki,Gorenjska,2016,Ženske, Visokošolska 3. stopnje ipd.,26,3255,0.8
Železniki,Gorenjska,2017,Moški, Osnovnošolska ali manj - Skupaj,613,3435,17.85
Železniki,Gorenjska,2017,Moški, Srednješolska - Skupaj,1691,3435,49.23
Železniki,Gorenjska,2017,Moški," Višješolska, visokošolska - Skupaj",519,3435,15.11
Železniki,Gorenjska,2017,Moški, Visokošolska 1. stopnje ipd.,283,3435,8.24
Železniki,Gorenjska,2017,Moški, Visokošolska 2. stopnje ipd.,204,3435,5.94
Železniki,Gorenjska,2017,Moški, Visokošolska 3. stopnje ipd.,32,3435,0.93
Železniki,Gorenjska,2017,Ženske, Osnovnošolska ali manj - Skupaj,978,3256,30.04
Železniki,Gorenjska,2017,Ženske, Srednješolska - Skupaj,1041,3256,31.97
Železniki,Gorenjska,2017,Ženske," Višješolska, visokošolska - Skupaj",680,3256,20.88
Železniki,Gorenjska,2017,Ženske, Visokošolska 1. stopnje ipd.,371,3256,11.39
Železniki,Gorenjska,2017,Ženske, Visokošolska 2. stopnje ipd.,280,3256,8.6
Železniki,Gorenjska,2017,Ženske, Visokošolska 3. stopnje ipd.,29,3256,0.89
Železniki,Gorenjska,2018,Moški, Osnovnošolska ali manj - Skupaj,597,3447,17.32
Železniki,Gorenjska,2018,Moški, Srednješolska - Skupaj,1695,3447,49.17
Železniki,Gorenjska,2018,Moški," Višješolska, visokošolska - Skupaj",525,3447,15.23
Železniki,Gorenjska,2018,Moški, Visokošolska 1. stopnje ipd.,293,3447,8.5
Železniki,Gorenjska,2018,Moški, Visokošolska 2. stopnje ipd.,199,3447,5.77
Železniki,Gorenjska,2018,Moški, Visokošolska 3. stopnje ipd.,33,3447,0.96
Železniki,Gorenjska,2018,Ženske, Osnovnošolska ali manj - Skupaj,961,3254,29.53
Železniki,Gorenjska,2018,Ženske, Srednješolska - Skupaj,1047,3254,32.18
Železniki,Gorenjska,2018,Ženske," Višješolska, visokošolska - Skupaj",704,3254,21.63
Železniki,Gorenjska,2018,Ženske, Visokošolska 1. stopnje ipd.,379,3254,11.65
Železniki,Gorenjska,2018,Ženske, Visokošolska 2. stopnje ipd.,297,3254,9.13
Železniki,Gorenjska,2018,Ženske, Visokošolska 3. stopnje ipd.,28,3254,0.86
Železniki,Gorenjska,2019,Moški, Osnovnošolska ali manj - Skupaj,554,3467,15.98
Železniki,Gorenjska,2019,Moški, Srednješolska - Skupaj,1706,3467,49.21
Železniki,Gorenjska,2019,Moški," Višješolska, visokošolska - Skupaj",556,3467,16.04
Železniki,Gorenjska,2019,Moški, Visokošolska 1. stopnje ipd.,313,3467,9.03
Železniki,Gorenjska,2019,Moški, Visokošolska 2. stopnje ipd.,208,3467,6
Železniki,Gorenjska,2019,Moški, Visokošolska 3. stopnje ipd.,35,3467,1.01
Železniki,Gorenjska,2019,Ženske, Osnovnošolska ali manj - Skupaj,942,3226,29.2
Železniki,Gorenjska,2019,Ženske, Srednješolska - Skupaj,1027,3226,31.84
Železniki,Gorenjska,2019,Ženske," Višješolska, visokošolska - Skupaj",724,3226,22.44
Železniki,Gorenjska,2019,Ženske, Visokošolska 1. stopnje ipd.,396,3226,12.28
Železniki,Gorenjska,2019,Ženske, Visokošolska 2. stopnje ipd.,296,3226,9.18
Železniki,Gorenjska,2019,Ženske, Visokošolska 3. stopnje ipd.,32,3226,0.99
Železniki,Gorenjska,2020,Moški, Osnovnošolska ali manj - Skupaj,553,3479,15.9
Železniki,Gorenjska,2020,Moški, Srednješolska - Skupaj,1719,3479,49.41
Železniki,Gorenjska,2020,Moški," Višješolska, visokošolska - Skupaj",570,3479,16.38
Železniki,Gorenjska,2020,Moški, Visokošolska 1. stopnje ipd.,320,3479,9.2
Železniki,Gorenjska,2020,Moški, Visokošolska 2. stopnje ipd.,215,3479,6.18
Železniki,Gorenjska,2020,Moški, Visokošolska 3. stopnje ipd.,35,3479,1.01
Železniki,Gorenjska,2020,Ženske, Osnovnošolska ali manj - Skupaj,905,3224,28.07
